path,type,size,permissions,modification_time,user,group,device_id,hard_links,special_device_id,inode,block_size,blocks,flags,generation,access_time,change_time,birth_time,file_type,basename,basename_no_ext,relative_path,top_folder,context_key,size_mb,last_modified,possible_duplicate,size_variation
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/peakflow-gages/gage_summary_skew.csv,file,293.9K,rw-r--r--,2025-07-17T17:23:45Z,cjtinant,staff,16777234,1,0,232023190,4096,592,64,0,2025-07-17T17:23:53Z,2025-07-17T17:23:52Z,2025-07-17T17:23:45Z,csv,gage_summary_skew.csv,gage_summary_skew,peakflow-gages/gage_summary_skew.csv,peakflow-gages,peakflow-gages/gage_summary_skew,0.3,2025-07-17T17:23:45Z,TRUE,TRUE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/peakflow-gages/gage_summary_skew.gpkg,file,520K,rw-r--r--,2025-07-17T17:21:01Z,cjtinant,staff,16777234,1,0,232021566,4096,1040,64,0,2025-07-17T17:21:01Z,2025-07-17T17:21:09Z,2025-07-17T17:21:01Z,gpkg,gage_summary_skew.gpkg,gage_summary_skew,peakflow-gages/gage_summary_skew.gpkg,peakflow-gages,peakflow-gages/gage_summary_skew,0.53,2025-07-17T17:21:01Z,TRUE,TRUE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/statsgo2/statsgo2_mupolygon.csv,file, 52.6M,rw-r--r--,2025-06-28T21:12:41Z,cjtinant,staff,16777234,1,0,224882486,4096,0,1073741920,0,2025-06-30T03:06:14Z,2025-07-20T18:10:36Z,2025-06-28T21:12:41Z,csv,statsgo2_mupolygon.csv,statsgo2_mupolygon,statsgo2/statsgo2_mupolygon.csv,statsgo2,statsgo2/statsgo2_mupolygon,55.17,2025-06-28T21:12:41Z,TRUE,TRUE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/processed/statsgo2/statsgo2_mupolygon.gpkg,file, 36.9M,rw-r--r--,2025-06-28T21:15:57Z,cjtinant,staff,16777234,1,0,224883575,4096,75480,64,0,2025-07-21T10:53:02Z,2025-07-20T18:03:08Z,2025-06-28T21:15:57Z,gpkg,statsgo2_mupolygon.gpkg,statsgo2_mupolygon,statsgo2/statsgo2_mupolygon.gpkg,statsgo2,statsgo2/statsgo2_mupolygon,38.65,2025-06-28T21:15:57Z,TRUE,TRUE
