file,res_x_deg,res_y_deg,origin_x,origin_y,crs_wkt,lat_ctr,m_per_deg_lat,m_per_deg_lon,res_y_m_obs,res_x_m_obs,res_m_nom_z,oversample_y
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_001.tif,6.481763066451516e-4,6.48176306645152e-4,1.141301807479067e-4,4.479914593957801e-6,+proj=longlat +datum=WGS84 +no_defs,26.70162743216163,111132,99448.68218936276,72.03312931008902,64.46027952222863,136.57135705051792,0.5274395075641218
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_002.tif,6.481763066451538e-4,6.48176306645152e-4,-1.1544977219557495e-4,4.479914593957801e-6,+proj=longlat +datum=WGS84 +no_defs,26.70162743216163,111132,99448.68218936276,72.03312931008902,64.46027952222884,136.57135705051792,0.5274395075641218
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_003.tif,6.481763066451516e-4,6.48176306645151e-4,3.031465808192024e-4,4.479914640143079e-6,+proj=longlat +datum=WGS84 +no_defs,26.701627432161636,111132,99448.68218936276,72.03312931008892,64.46027952222863,136.57135705051792,0.5274395075641211
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_004.tif,6.481763066451495e-4,6.48176306645151e-4,7.356662719359974e-5,4.479914640143079e-6,+proj=longlat +datum=WGS84 +no_defs,26.701627432161636,111132,99448.68218936276,72.03312931008892,64.46027952222842,136.57135705051792,0.5274395075641211
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_005.tif,6.481763066451516e-4,6.48176306645151e-4,-1.5601332577830362e-4,4.479914640143079e-6,+proj=longlat +datum=WGS84 +no_defs,26.701627432161636,111132,99448.68218936276,72.03312931008892,64.46027952222863,136.57135705051792,0.5274395075641211
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_006.tif,6.481763066451538e-4,6.48176306645152e-4,2.6258302789017307e-4,4.479914593957801e-6,+proj=longlat +datum=WGS84 +no_defs,26.70162743216163,111132,99448.68218936276,72.03312931008902,64.46027952222884,136.57135705051792,0.5274395075641218
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_007.tif,6.291560037962446e-4,6.29156003796245e-4,6.356941700857988e-5,-2.1238145798463393e-5,+proj=longlat +datum=WGS84 +no_defs,31.000697114908476,111132,95419.16632669278,69.9193650138843,60.03354137167122,131.037684431573,0.533582116603989
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_008.tif,6.291560037962446e-4,6.29156003796245e-4,-3.0659204061578293e-4,-2.1238145798463393e-5,+proj=longlat +datum=WGS84 +no_defs,31.000697114908476,111132,95419.16632669278,69.9193650138843,60.03354137167122,131.037684431573,0.533582116603989
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_009.tif,6.291560037962446e-4,6.291560037962445e-4,-4.759749441518579e-5,-2.1238145770041683e-5,+proj=longlat +datum=WGS84 +no_defs,31.000697114908483,111132,95419.16632669276,69.91936501388425,60.03354137167121,131.037684431573,0.5335821166039886
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_010.tif,6.291560037962445e-4,6.291560037962445e-4,2.1139705174277879e-4,-2.1238145770041683e-5,+proj=longlat +datum=WGS84 +no_defs,31.000697114908483,111132,95419.16632669276,69.91936501388425,60.0335413716712,131.037684431573,0.5335821166039886
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_011.tif,6.291560037962446e-4,6.291560037962445e-4,-1.5876440588158403e-4,-2.1238145770041683e-5,+proj=longlat +datum=WGS84 +no_defs,31.000697114908483,111132,95419.16632669276,69.91936501388425,60.03354137167121,131.037684431573,0.5335821166039886
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_012.tif,6.291560037962446e-4,6.29156003796245e-4,1.0023014030480226e-4,-2.1238145798463393e-5,+proj=longlat +datum=WGS84 +no_defs,31.000697114908476,111132,95419.16632669278,69.9193650138843,60.03354137167122,131.037684431573,0.533582116603989
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_013.tif,6.130644278807384e-4,6.130644278807385e-4,2.310529889797408e-4,-1.9859977428637876e-4,+proj=longlat +datum=WGS84 +no_defs,35.29943809317076,111132,90853.0673873227,68.13107599924223,55.698783779019166,124.76713046496248,0.5460659049009308
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_014.tif,6.130644278807384e-4,6.130644278807385e-4,-1.2833968628456205e-4,-1.9859977428637876e-4,+proj=longlat +datum=WGS84 +no_defs,35.29943809317076,111132,90853.0673873227,68.13107599924223,55.698783779019166,124.76713046496248,0.5460659049009308
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_015.tif,6.130644278807363e-4,6.130644278807375e-4,1.253320660339341e-4,-1.9859977422953534e-4,+proj=longlat +datum=WGS84 +no_defs,35.299438093170764,111132,90853.06738732269,68.13107599924213,55.698783779018974,124.76713046496245,0.5460659049009301
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_016.tif,6.130644278807363e-4,6.130644278807375e-4,-2.3406060920194705e-4,-1.9859977422953534e-4,+proj=longlat +datum=WGS84 +no_defs,35.299438093170764,111132,90853.06738732269,68.13107599924213,55.698783779018974,124.76713046496245,0.5460659049009301
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_017.tif,6.130644278807363e-4,6.130644278807375e-4,1.961114344339876e-5,-1.9859977422953534e-4,+proj=longlat +datum=WGS84 +no_defs,35.299438093170764,111132,90853.06738732269,68.13107599924213,55.698783779018974,124.76713046496245,0.5460659049009301
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_018.tif,6.130644278807385e-4,6.130644278807385e-4,2.732828964298051e-4,-1.9859977428637876e-4,+proj=longlat +datum=WGS84 +no_defs,35.29943809317076,111132,90853.0673873227,68.13107599924223,55.69878377901918,124.76713046496248,0.5460659049009308
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_019.tif,5.965509500648282e-4,5.965509500648274e-4,1.875168666032323e-4,2.1760527477709957e-4,+proj=longlat +datum=WGS84 +no_defs,39.59837484415292,111132,85775.54682783602,66.2959001826044,51.16948395247574,117.79424899489335,0.5628110094362797
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_020.tif,5.965509500648282e-4,5.965509500648274e-4,1.2919800812483118e-4,2.1760527477709957e-4,+proj=longlat +datum=WGS84 +no_defs,39.59837484415292,111132,85775.54682783602,66.2959001826044,51.16948395247574,117.79424899489335,0.5628110094362797
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_021.tif,5.965509500648261e-4,5.965509500648265e-4,7.087914933379125e-5,2.1760527484815384e-4,+proj=longlat +datum=WGS84 +no_defs,39.59837484415293,111132,85775.54682783602,66.2959001826043,51.16948395247556,117.79424899489335,0.5628110094362788
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_022.tif,5.965509500648261e-4,5.965509500648265e-4,1.2560290883811831e-5,2.1760527484815384e-4,+proj=longlat +datum=WGS84 +no_defs,39.59837484415293,111132,85775.54682783602,66.2959001826043,51.16948395247556,117.79424899489335,0.5628110094362788
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/tmp/ned_tiles/tile_023.tif,5.965509500648261e-4,5.965509500648265e-4,-4.575856758037844e-5,2.1760527484815384e-4,+proj=longlat +datum=WGS84 +no_defs,39.59837484415293,111132,85775.54682783602,66.2959001826043,51.16948395247556,117.79424899489335,0.5628110094362788
