term,estimate,std.error,statistic,p.value
(Intercept),3.664660357749151,3.6891792154067393,0.9933538447914939,0.3207582092274973
dec_lat_va,0.020429604784913603,0.054133336488864106,0.37739415506221796,0.7059542445650847
dec_long_va,0.013619634429308093,0.03096513780448191,0.43983768182477717,0.6601419475162308
n,-0.002182528688747645,8.090083542304771e-4,-2.697782633930462,0.007088163924068582
ppt_m01_mm,35.115325921997616,101.34676463333746,0.34648689624223705,0.7290437653853657
ppt_m02_mm,35.11282853296147,101.34747258930071,0.3464598340330822,0.7290640942877369
ppt_m03_mm,35.096587723349906,101.34722937404199,0.3463004163026402,0.7291838514082019
ppt_m04_mm,35.12249453092122,101.34695402516869,0.3465569820894552,0.7289911183772011
ppt_m05_mm,35.109704351503694,101.34720984989426,0.34642990570243437,0.7290865764184367
ppt_m06_mm,35.110997393616266,101.34700758697342,0.34644335565097867,0.7290764728022856
ppt_m07_mm,35.11009693654115,101.3471366869928,0.3464340294583506,0.729083478643445
ppt_m08_mm,35.109485627435106,101.34726084383655,0.34642757322799705,0.7290883285805951
ppt_m09_mm,35.111644359324266,101.3471678680413,0.3464491914075118,0.7290720889902111
ppt_m10_mm,35.11390410922814,101.34705966280653,0.34647185844420336,0.7290550616283681
ppt_m11_mm,35.10387394956904,101.34774182908758,0.34637055859387644,0.7291311585942966
ppt_m12_mm,35.11010150307011,101.3468903086137,0.3464349167118552,0.7290828121371371
ppt_ann_mm,-35.11085637869759,101.34713415659672,-0.34644153158239266,0.7290778430418536
tmean_m01_c,1.2822262036206968,0.553986198555902,2.3145453929414255,0.020823132752279084
tmean_m02_c,1.0429509747368562,0.5615288692913886,1.8573416822771547,0.06353236433699823
tmean_m03_c,0.7106286764612687,0.5555343330610167,1.2791804829517481,0.20110599973597715
tmean_m04_c,0.9539887803065529,0.584438813771085,1.6323159205511195,0.1029020487284931
tmean_m05_c,0.9699973359856459,0.5709095192225181,1.699038645049425,0.08959751579989962
tmean_m06_c,1.0272493350352985,0.5675498385074027,1.8099720330056965,0.07057569295413701
tmean_m07_c,1.1133718768655159,0.5876216390780589,1.8947087765731803,0.058395696816183756
tmean_m08_c,0.8027809969550268,0.560898229235893,1.431241810209757,0.1526478288639665
tmean_m09_c,0.4812036584207233,0.5861926344435969,0.8208968010617752,0.41188471187747966
tmean_m10_c,1.0899966244270143,0.58122227508179225,1.8753524617989306,0.06101165589386905
tmean_m11_c,1.0771963131699296,0.5706191908160423,1.887767412150004,0.05932286789991158
tmean_m12_c,0.5509753086574537,0.57213501126645006,0.9630162423338535,0.33575315775461567
tmean_ann_c,-11.15181459495222,6.440006100412573,-1.7316465886946584,0.08361969799446285
elev_m,-4.7799857972695425e-4,3.0425082771517125e-4,-1.5710674752031881,0.11645746012205489
slope_deg,0.01794919804188609,0.010403690755408755,1.725272161954114,0.08476213780748994
