term,edf,ref.df,statistic,p.value
s(dec_long_va),4.148176006040392,5.259755969690435,9.705323858001034,0
s(slope_deg),4.032985941289475,5.001496078720366,3.2933830708768776,0.005867873982780769
s(ppt_spring_mm),4.496131659090048,5.637100348439021,6.4424772215988275,3.6268985895149264e-6
s(ppt_winter_mm),7.9408593558361,8.690360324249959,4.277194346400861,2.6735916711206897e-5
s(tmean_m01_c),6.913718478020677,8.00523853432528,2.95009027714836,0.0029067917647567776
