NA_L3CODE,NA_L3NAME,prism_ppt_seasonal_iqr_mm
9.3.1,Northwestern Glaciated Plains,108.02369689941406
9.3.1,Northwestern Glaciated Plains,59.79600524902344
9.3.1,Northwestern Glaciated Plains,105.10765075683594
9.3.1,Northwestern Glaciated Plains,45.12681579589844
9.3.1,Northwestern Glaciated Plains,44.417762756347656
9.3.1,Northwestern Glaciated Plains,38.086875915527344
9.3.1,Northwestern Glaciated Plains,61.244544982910156
9.3.1,Northwestern Glaciated Plains,64.9256591796875
9.3.1,Northwestern Glaciated Plains,53.5362663269043
9.3.1,Northwestern Glaciated Plains,63.3751106262207
9.3.1,Northwestern Glaciated Plains,54.72953414916992
9.3.1,Northwestern Glaciated Plains,61.13520050048828
9.3.1,Northwestern Glaciated Plains,59.89372634887695
9.3.1,Northwestern Glaciated Plains,50.39549255371094
9.3.1,Northwestern Glaciated Plains,59.830474853515625
9.3.1,Northwestern Glaciated Plains,55.61893844604492
9.3.1,Northwestern Glaciated Plains,48.20376968383789
9.3.1,Northwestern Glaciated Plains,68.70055389404297
9.3.1,Northwestern Glaciated Plains,58.56742477416992
9.3.1,Northwestern Glaciated Plains,52.15878677368164
9.3.1,Northwestern Glaciated Plains,61.141239166259766
9.3.1,Northwestern Glaciated Plains,61.559120178222656
9.3.1,Northwestern Glaciated Plains,89.74541473388672
9.3.1,Northwestern Glaciated Plains,58.937599182128906
9.3.1,Northwestern Glaciated Plains,57.48347473144531
9.3.1,Northwestern Glaciated Plains,57.13972473144531
9.3.1,Northwestern Glaciated Plains,50.203243255615234
9.3.1,Northwestern Glaciated Plains,72.31959533691406
9.3.1,Northwestern Glaciated Plains,50.83356857299805
9.3.1,Northwestern Glaciated Plains,57.8596076965332
9.3.1,Northwestern Glaciated Plains,56.64653778076172
9.3.1,Northwestern Glaciated Plains,62.59578323364258
9.3.1,Northwestern Glaciated Plains,56.87866973876953
9.3.3,Northwestern Great Plains,64.22967529296875
9.3.3,Northwestern Great Plains,63.57880783081055
9.3.3,Northwestern Great Plains,58.870765686035156
9.3.3,Northwestern Great Plains,52.629573822021484
9.3.3,Northwestern Great Plains,87.430999755859375
9.3.3,Northwestern Great Plains,80.7571029663086
9.3.3,Northwestern Great Plains,94.068328857421875
9.3.3,Northwestern Great Plains,59.04768753051758
9.3.3,Northwestern Great Plains,81.19355773925781
9.3.3,Northwestern Great Plains,103.43365478515625
9.3.3,Northwestern Great Plains,72.485015869140625
9.3.3,Northwestern Great Plains,58.0294075012207
9.3.3,Northwestern Great Plains,63.44736862182617
9.3.3,Northwestern Great Plains,58.14033126831055
9.3.3,Northwestern Great Plains,67.10577392578125
9.3.3,Northwestern Great Plains,55.32233810424805
9.3.3,Northwestern Great Plains,64.4776382446289
9.3.3,Northwestern Great Plains,54.8592529296875
9.3.3,Northwestern Great Plains,56.238365173339844
9.3.3,Northwestern Great Plains,46.50044250488281
9.3.3,Northwestern Great Plains,34.205360412597656
9.3.3,Northwestern Great Plains,95.8528823852539
9.3.3,Northwestern Great Plains,92.9574203491211
9.3.3,Northwestern Great Plains,90.25004577636719
9.3.3,Northwestern Great Plains,52.958805084228516
9.3.3,Northwestern Great Plains,87.97762298583984
9.3.3,Northwestern Great Plains,39.02131652832031
9.3.3,Northwestern Great Plains,56.737152099609375
9.3.3,Northwestern Great Plains,97.25334167480469
9.3.3,Northwestern Great Plains,83.515960693359375
9.3.3,Northwestern Great Plains,59.67658996582031
9.3.3,Northwestern Great Plains,46.71699905395508
9.3.3,Northwestern Great Plains,65.46723937988281
9.3.3,Northwestern Great Plains,63.5485954284668
9.3.3,Northwestern Great Plains,73.712249755859375
9.3.3,Northwestern Great Plains,52.78779983520508
9.3.3,Northwestern Great Plains,77.30657196044922
9.3.3,Northwestern Great Plains,106.87935638427734
9.3.3,Northwestern Great Plains,59.646385192871094
9.3.3,Northwestern Great Plains,60.276832580566406
9.3.3,Northwestern Great Plains,79.23820495605469
9.3.3,Northwestern Great Plains,72.12327575683594
9.3.3,Northwestern Great Plains,60.161319732666016
9.3.3,Northwestern Great Plains,32.22663497924805
9.3.3,Northwestern Great Plains,62.14427947998047
9.3.3,Northwestern Great Plains,87.90318298339844
9.3.3,Northwestern Great Plains,66.858978271484375
9.3.3,Northwestern Great Plains,41.60646438598633
9.3.3,Northwestern Great Plains,46.623046875
9.3.3,Northwestern Great Plains,59.3216667175293
9.3.3,Northwestern Great Plains,45.44486618041992
9.3.3,Northwestern Great Plains,67.07716369628906
9.3.3,Northwestern Great Plains,73.664306640625
9.3.3,Northwestern Great Plains,77.8230209350586
9.3.3,Northwestern Great Plains,74.1893081665039
9.3.3,Northwestern Great Plains,75.48333740234375
9.3.3,Northwestern Great Plains,69.07108306884766
9.3.3,Northwestern Great Plains,71.00083923339844
9.3.3,Northwestern Great Plains,44.55679702758789
9.3.3,Northwestern Great Plains,59.52586364746094
9.3.3,Northwestern Great Plains,50.96015548706055
9.3.3,Northwestern Great Plains,72.38988494873047
9.3.3,Northwestern Great Plains,59.96796798706055
9.3.3,Northwestern Great Plains,67.31541442871094
9.3.3,Northwestern Great Plains,82.37884521484375
9.3.3,Northwestern Great Plains,88.1627197265625
9.3.3,Northwestern Great Plains,56.8039665222168
9.3.3,Northwestern Great Plains,77.93914794921875
9.3.3,Northwestern Great Plains,75.4204330444336
9.3.3,Northwestern Great Plains,58.8792724609375
9.3.3,Northwestern Great Plains,34.72494888305664
9.3.3,Northwestern Great Plains,68.00713348388672
9.3.3,Northwestern Great Plains,42.161705017089844
9.3.3,Northwestern Great Plains,76.5377426147461
9.3.3,Northwestern Great Plains,66.27584075927734
9.3.3,Northwestern Great Plains,67.53990173339844
9.3.3,Northwestern Great Plains,53.52082824707031
9.3.3,Northwestern Great Plains,88.55892181396484
9.3.3,Northwestern Great Plains,67.36629486083984
9.3.3,Northwestern Great Plains,73.59986877441406
