NA_L3CODE,NA_L3NAME,prism_ppt_seasonal_sd_mm
9.3.1,Northwestern Glaciated Plains,95.177459716796875
9.3.1,Northwestern Glaciated Plains,81.30647277832031
9.3.1,Northwestern Glaciated Plains,91.64570617675781
9.3.1,Northwestern Glaciated Plains,39.34294891357422
9.3.1,Northwestern Glaciated Plains,53.257667541503906
9.3.1,Northwestern Glaciated Plains,30.004941940307617
9.3.1,Northwestern Glaciated Plains,67.61627197265625
9.3.1,Northwestern Glaciated Plains,82.956146240234375
9.3.1,Northwestern Glaciated Plains,80.08063507080078
9.3.1,Northwestern Glaciated Plains,51.59769058227539
9.3.1,Northwestern Glaciated Plains,47.3835334777832
9.3.1,Northwestern Glaciated Plains,64.351531982421875
9.3.1,Northwestern Glaciated Plains,43.26583480834961
9.3.1,Northwestern Glaciated Plains,49.11138153076172
9.3.1,Northwestern Glaciated Plains,56.186622619628906
9.3.1,Northwestern Glaciated Plains,67.27701568603516
9.3.1,Northwestern Glaciated Plains,56.75319290161133
9.3.1,Northwestern Glaciated Plains,83.63533020019531
9.3.1,Northwestern Glaciated Plains,73.19126892089844
9.3.1,Northwestern Glaciated Plains,51.26531219482422
9.3.1,Northwestern Glaciated Plains,56.116615295410156
9.3.1,Northwestern Glaciated Plains,75.8886489868164
9.3.1,Northwestern Glaciated Plains,82.22284698486328
9.3.1,Northwestern Glaciated Plains,40.5606575012207
9.3.1,Northwestern Glaciated Plains,81.73770904541016
9.3.1,Northwestern Glaciated Plains,80.08058166503906
9.3.1,Northwestern Glaciated Plains,48.4542121887207
9.3.1,Northwestern Glaciated Plains,92.46659851074219
9.3.1,Northwestern Glaciated Plains,39.674034118652344
9.3.1,Northwestern Glaciated Plains,72.83893585205078
9.3.1,Northwestern Glaciated Plains,79.04346466064453
9.3.1,Northwestern Glaciated Plains,83.45307922363281
9.3.1,Northwestern Glaciated Plains,81.38636016845703
9.3.3,Northwestern Great Plains,70.02117156982422
9.3.3,Northwestern Great Plains,51.39607620239258
9.3.3,Northwestern Great Plains,46.461944580078125
9.3.3,Northwestern Great Plains,45.40981674194336
9.3.3,Northwestern Great Plains,63.99150085449219
9.3.3,Northwestern Great Plains,70.61815643310547
9.3.3,Northwestern Great Plains,72.853973388671875
9.3.3,Northwestern Great Plains,61.703941345214844
9.3.3,Northwestern Great Plains,69.7020492553711
9.3.3,Northwestern Great Plains,80.72892761230469
9.3.3,Northwestern Great Plains,59.56615447998047
9.3.3,Northwestern Great Plains,45.960079193115234
9.3.3,Northwestern Great Plains,49.15620040893555
9.3.3,Northwestern Great Plains,50.327980041503906
9.3.3,Northwestern Great Plains,52.3798828125
9.3.3,Northwestern Great Plains,63.624813079833984
9.3.3,Northwestern Great Plains,58.018531799316406
9.3.3,Northwestern Great Plains,63.14863586425781
9.3.3,Northwestern Great Plains,46.04804992675781
9.3.3,Northwestern Great Plains,45.80975341796875
9.3.3,Northwestern Great Plains,45.383975982666016
9.3.3,Northwestern Great Plains,70.98906707763672
9.3.3,Northwestern Great Plains,79.60515594482422
9.3.3,Northwestern Great Plains,67.56989288330078
9.3.3,Northwestern Great Plains,39.69070053100586
9.3.3,Northwestern Great Plains,65.054168701171875
9.3.3,Northwestern Great Plains,39.054874420166016
9.3.3,Northwestern Great Plains,54.65209197998047
9.3.3,Northwestern Great Plains,79.4749526977539
9.3.3,Northwestern Great Plains,70.1852035522461
9.3.3,Northwestern Great Plains,46.15261459350586
9.3.3,Northwestern Great Plains,47.98394012451172
9.3.3,Northwestern Great Plains,48.09272384643555
9.3.3,Northwestern Great Plains,77.81474304199219
9.3.3,Northwestern Great Plains,72.22478485107422
9.3.3,Northwestern Great Plains,52.264835357666016
9.3.3,Northwestern Great Plains,56.639434814453125
9.3.3,Northwestern Great Plains,89.88849639892578
9.3.3,Northwestern Great Plains,47.67922592163086
9.3.3,Northwestern Great Plains,50.81392288208008
9.3.3,Northwestern Great Plains,59.45387268066406
9.3.3,Northwestern Great Plains,75.72245025634766
9.3.3,Northwestern Great Plains,55.53978729248047
9.3.3,Northwestern Great Plains,37.79521942138672
9.3.3,Northwestern Great Plains,46.23520278930664
9.3.3,Northwestern Great Plains,62.404117584228516
9.3.3,Northwestern Great Plains,50.826072692871094
