path,type,size,permissions,modification_time,user,group,device_id,hard_links,special_device_id,inode,block_size,blocks,flags,generation,access_time,change_time,birth_time,file_type,basename,size_mb,possible_duplicate,size_variation
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/vector_raw/na_cec_eco_lev03/na_cec_eco_level3.shp,file,50.8M,rw-rw-r--,2010-11-29T16:14:14Z,cjtinant,staff,16777230,1,0,201273930,4096,103936,64,0,2025-04-21T22:42:28Z,2025-04-21T22:49:05Z,2010-11-29T16:14:14Z,shp,na_cec_eco_level3.shp,53.21,TRUE,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/vector_raw/na_cec_eco_level3/na_cec_eco_level3.shp,file,50.8M,rw-r--r--,2010-11-29T16:14:14Z,cjtinant,staff,16777230,1,0,195419822,4096,103936,64,0,2025-04-21T22:11:54Z,2025-04-21T22:49:05Z,2010-11-29T16:14:14Z,shp,na_cec_eco_level3.shp,53.21,TRUE,FALSE
