path,type,size,permissions,modification_time,user,group,device_id,hard_links,special_device_id,inode,block_size,blocks,flags,generation,access_time,change_time,birth_time,file_type,basename,size_mb
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_ppt_30yr_normal_4kmM4_annual_bil/PRISM_ppt_30yr_normal_4kmM4_annual_bil.stx,file, 39,rw-r--r--,2025-04-13T23:02:51Z,cjtinant,staff,16777230,1,0,197897945,4096,8,64,0,2025-04-21T00:59:16Z,2025-04-13T23:03:02Z,2025-04-13T23:02:51Z,stx,PRISM_ppt_30yr_normal_4kmM4_annual_bil.stx,0
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_ppt_30yr_normal_4kmM4_annual_bil.zip,file,  1.63M,rw-r--r--,2025-04-13T23:02:51Z,cjtinant,staff,16777230,1,0,197897897,4096,3344,64,0,2025-04-14T06:04:32Z,2025-04-13T23:02:57Z,2025-04-13T23:02:49Z,zip,PRISM_ppt_30yr_normal_4kmM4_annual_bil.zip,1.71
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_01_bil/PRISM_tmean_30yr_normal_4kmM5_01_bil.bil,file,  3.33M,rw-r--r--,2025-04-13T23:29:32Z,cjtinant,staff,16777230,1,0,197914563,4096,6824,64,0,2025-04-21T00:11:44Z,2025-04-13T23:30:10Z,2025-04-13T23:29:32Z,bil,PRISM_tmean_30yr_normal_4kmM5_01_bil.bil,3.49
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_01_bil/PRISM_tmean_30yr_normal_4kmM5_01_bil.hdr,file,316,rw-r--r--,2025-04-13T23:29:32Z,cjtinant,staff,16777230,1,0,197914565,4096,8,64,0,2025-04-21T00:59:16Z,2025-04-13T23:30:10Z,2025-04-13T23:29:32Z,hdr,PRISM_tmean_30yr_normal_4kmM5_01_bil.hdr,0
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_01_bil/PRISM_tmean_30yr_normal_4kmM5_01_bil.stx,file, 34,rw-r--r--,2025-04-13T23:29:32Z,cjtinant,staff,16777230,1,0,197914568,4096,8,64,0,2025-04-21T00:59:16Z,2025-04-13T23:30:10Z,2025-04-13T23:29:32Z,stx,PRISM_tmean_30yr_normal_4kmM5_01_bil.stx,0
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_01_bil.zip,file,  1.57M,rw-r--r--,2025-04-13T23:29:32Z,cjtinant,staff,16777230,1,0,197914519,4096,3224,64,0,2025-04-14T04:15:16Z,2025-04-13T23:30:13Z,2025-04-13T23:29:31Z,zip,PRISM_tmean_30yr_normal_4kmM5_01_bil.zip,1.65
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_02_bil/PRISM_tmean_30yr_normal_4kmM5_02_bil.bil,file,  3.33M,rw-r--r--,2025-04-13T23:29:36Z,cjtinant,staff,16777230,1,0,197914632,4096,6824,64,0,2025-04-21T00:11:44Z,2025-04-13T23:30:10Z,2025-04-13T23:29:36Z,bil,PRISM_tmean_30yr_normal_4kmM5_02_bil.bil,3.49
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_02_bil/PRISM_tmean_30yr_normal_4kmM5_02_bil.hdr,file,316,rw-r--r--,2025-04-13T23:29:36Z,cjtinant,staff,16777230,1,0,197914634,4096,8,64,0,2025-04-21T00:59:16Z,2025-04-13T23:30:10Z,2025-04-13T23:29:36Z,hdr,PRISM_tmean_30yr_normal_4kmM5_02_bil.hdr,0
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_02_bil/PRISM_tmean_30yr_normal_4kmM5_02_bil.stx,file, 34,rw-r--r--,2025-04-13T23:29:36Z,cjtinant,staff,16777230,1,0,197914637,4096,8,64,0,2025-04-21T00:59:16Z,2025-04-13T23:30:10Z,2025-04-13T23:29:36Z,stx,PRISM_tmean_30yr_normal_4kmM5_02_bil.stx,0
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_02_bil.zip,file,  1.56M,rw-r--r--,2025-04-13T23:29:36Z,cjtinant,staff,16777230,1,0,197914571,4096,3208,64,0,2025-04-14T04:14:11Z,2025-04-13T23:30:50Z,2025-04-13T23:29:32Z,zip,PRISM_tmean_30yr_normal_4kmM5_02_bil.zip,1.64
