term,edf,ref.df,statistic,p.value
s(dec_lat_va),6.127037250507523,7.30067347447137,3.1776111840852974,0.002340001061745589
s(dec_long_va),4.163241354995292,5.284041842973931,2.5041767072642203,0.026243473454346633
s(elev_m),1.0000000052845446,1.0000000101243232,0.8804709968113642,0.3482789550484901
s(slope_deg),3.6332648780589785,4.530061952588103,2.783445017477996,0.021600373141044682
s(ppt_ann_mm),5.694588635815723,6.869089057907139,3.3237912700982357,0.0018523946351432508
s(tmean_ann_c),1.000000001547741,1.0000000027884033,0.4932672837973367,0.4826222242316069
