field_name,data_type
NA_L1CODE,character
NA_L1NAME,character
NA_L1KEY,character
area_km2,numeric
geom,sfc_MULTIPOLYGON
NA_L2CODE,character
NA_L2NAME,character
NA_L2KEY,character
NA_L3CODE,character
NA_L3NAME,character
NA_L3KEY,character
US_L4CODE,character
US_L4NAME,character
US_L3CODE,character
US_L3NAME,character
L4_KEY,character
L3_KEY,character
L2_KEY,character
L1_KEY,character
geom,sfc_POLYGON
