site_no,dec_lat_va,dec_long_va,ordinal_num,type
08169000,29.70640833,-98.1222083,1,all sites
08168500,29.7149465,-98.1100083,1,all sites
08169500,29.69800265,-98.1066748,1,all sites
08171000,29.99438343,-98.088925,1,all sites
08154000,30.4210311,-98.0808487,1,all sites
08183500,28.95163797,-98.0641989,1,all sites
08185500,29.2797222,-98.0533333,1,all sites
08158700,30.08298924,-98.0077859,1,all sites
08171290,30.00555556,-97.9525,1,all sites
08158810,30.15548749,-97.9400076,1,all sites
08169778,29.5996111,-97.9391722,1,all sites
08186000,29.01413629,-97.9303065,1,all sites
08155200,30.29631587,-97.925565,1,all sites
08171350,29.8795111,-97.9107528,1,all sites
08171300,29.9793843,-97.910031,1,all sites
08154510,30.39186795,-97.9080665,1,all sites
08158813,30.1636611,-97.9070194,1,all sites
08158840,30.2090972,-97.9033409,1,all sites
08169792,29.53616667,-97.8809444,1,all sites
08158819,30.14416667,-97.8611111,1,all sites
08158920,30.23520806,-97.8602848,1,all sites
08187500,28.81998007,-97.859168,1,all sites
0810464660,30.69775,-97.8492222,1,all sites
08158800,30.0860467,-97.8480606,1,all sites
08155240,30.2740957,-97.8447296,1,all sites
08187900,28.8610896,-97.8444456,1,all sites
08171400,29.8322861,-97.8423833,1,all sites
08158922,30.2263215,-97.8414188,1,all sites
08188000,28.86164516,-97.837501,1,all sites
88480207,30.42658984,-97.833621,1,all sites
08158860,30.1621554,-97.8322279,1,all sites
08155260,30.2702072,-97.8288959,1,all sites
08158927,30.2124722,-97.8288611,1,all sites
08158827,30.12632345,-97.8211161,1,all sites
08155330,30.2590969,-97.8061175,1,all sites
08155370,30.25937469,-97.8050064,1,all sites
08155300,30.24465306,-97.8022283,1,all sites
08158930,30.22132179,-97.7936396,1,all sites
08105886,30.46555556,-97.7878889,1,all sites
08154700,30.37214825,-97.7847301,1,all sites
08158880,30.1807666,-97.7822272,1,all sites
08189298,28.51549167,-97.7813917,1,all sites
08189585,28.411425,-97.7806222,1,all sites
08155400,30.26354168,-97.772228,1,all sites
08186500,28.92025419,-97.7722221,1,all sites
08155541,30.24666667,-97.7691667,1,all sites
08154680,30.37853727,-97.7577852,1,all sites
08154660,30.37853727,-97.7575074,1,all sites
08157600,30.2521535,-97.754172,1,all sites
08156800,30.276598,-97.7503052,1,all sites
08105872,30.52518056,-97.7499917,1,all sites
08189590,28.39894167,-97.7476528,1,all sites
08156700,30.34742756,-97.7450066,1,all sites
08157700,30.24743158,-97.7438939,1,all sites
08157560,30.26194167,-97.7397,1,all sites
08156675,30.35416667,-97.7388889,1,all sites
08188060,28.84869444,-97.7371389,1,all sites
08157540,30.27162778,-97.7355583,1,all sites
08157500,30.28576347,-97.7338942,1,all sites
08158970,30.189378,-97.732504,1,all sites
08157000,30.29715196,-97.7269497,1,all sites
08156910,30.32277778,-97.7227778,1,all sites
08158035,30.26305556,-97.7125,1,all sites
08158100,30.40992537,-97.7116733,1,all sites
08104700,30.6618646,-97.7114164,1,all sites
08158030,30.2861111,-97.7086111,1,all sites
08158380,30.3543736,-97.6980818,1,all sites
08104900,30.6257499,-97.6911204,1,all sites
08159000,30.17798987,-97.6886138,1,all sites
08105883,30.51290556,-97.6864361,1,all sites
08158045,30.30055556,-97.6855556,1,all sites
08158000,30.24613889,-97.6800556,1,all sites
08172400,29.92299833,-97.6791667,1,all sites
08104800,30.6446381,-97.6780647,1,all sites
08158050,30.26326487,-97.6725032,1,all sites
08105095,30.70324685,-97.6663985,1,all sites
08158200,30.375205,-97.6605601,1,all sites
08159250,30.09453056,-97.6593222,1,all sites
08189300,28.48305164,-97.656663,1,all sites
08105100,30.69130304,-97.6561202,1,all sites
08105000,30.6540824,-97.6552863,1,all sites
08158600,30.2832642,-97.655003,1,all sites
08172000,29.66633885,-97.6508561,1,all sites
08158650,30.20798929,-97.6377794,1,all sites
08105888,30.51239444,-97.6366722,1,all sites
08174970,29.29175556,-97.6207556,1,all sites
08105200,30.67602639,-97.614452,1,all sites
08173000,29.699673,-97.6036082,1,all sites
08159110,30.38349444,-97.6020611,1,all sites
08159150,30.4546469,-97.6008373,1,all sites
08173210,29.6549222,-97.5997722,1,all sites
08189320,28.381675,-97.5950167,1,all sites
08173500,29.59260833,-97.5880889,1,all sites
08169845,29.4876,-97.5875056,1,all sites
08159105,30.17647778,-97.5869167,1,all sites
08172500,29.82161359,-97.5841639,1,all sites
08105400,30.62880763,-97.4733356,1,all sites
08173900,29.48440414,-97.4502702,1,all sites
08175000,29.2152475,-97.4494353,1,all sites
08170500,29.88910804,-97.9341718,1,all sites
08170000,29.88910804,-97.9341718,1,all sites
08105505,30.70216667,-97.4341667,1,all sites
08188500,28.6492861,-97.3848583,1,all sites
08176550,28.89776103,-97.3549922,1,all sites
08106050,30.51958333,-97.3384472,1,all sites
08175800,29.09053147,-97.3297129,1,all sites
08159170,30.2652117,-97.3277714,1,all sites
08174200,29.62491389,-97.3207444,1,all sites
08159200,30.10466154,-97.3194368,1,all sites
08177300,28.7516564,-97.3172142,1,all sites
08174600,29.47412787,-97.3166565,1,all sites
08174700,29.31446667,-97.3035,1,all sites
08159165,30.30521047,-97.2969376,1,all sites
08105700,30.69436146,-97.2788849,1,all sites
08176000,29.051645,-97.2647124,1,all sites
08174545,29.6926472,-97.2314944,1,all sites
08174550,29.68580278,-97.2308167,1,all sites
08176900,28.86165308,-97.2263791,1,all sites
08176990,28.8394319,-97.1891564,1,all sites
08177000,28.83165447,-97.1863786,1,all sites
08159500,30.01272074,-97.1619321,1,all sites
08160000,30.042442,-97.15971,1,all sites
08177500,28.73110317,-97.1386004,1,all sites
08106300,30.69408463,-97.0785997,1,all sites
08188570,28.53125,-97.0426944,1,all sites
08106310,30.7276942,-97.0388761,1,all sites
08106350,30.76074836,-97.0138754,1,all sites
08176500,28.7930456,-97.0130429,1,all sites
08176520,28.7530473,-97.0085986,1,all sites
08163880,29.09466667,-96.9872333,1,all sites
08163900,29.1354361,-96.9865944,1,all sites
08163720,29.26886389,-96.9727694,1,all sites
08177520,28.66194444,-96.9652778,1,all sites
08106500,30.83519047,-96.9466512,1,all sites
08163500,29.4432973,-96.9449819,1,all sites
08164150,29.68995833,-96.9382611,1,all sites
08109700,30.33937764,-96.9047037,1,all sites
08160400,29.9124474,-96.9038699,1,all sites
08188800,28.50582149,-96.8847203,1,all sites
08160500,29.89605925,-96.8710913,1,all sites
08188810,28.4783224,-96.8627751,1,all sites
08164200,29.69758333,-96.8379472,1,all sites
08164600,28.8913759,-96.8191486,1,all sites
08109800,30.40743105,-96.8174791,1,all sites
08164300,29.466908,-96.812756,1,all sites
08188590,28.50548889,-96.7814278,1,all sites
08164700,28.9136,-96.7735417,1,all sites
08188600,28.496667,-96.7710941,1,all sites
08164800,28.72527137,-96.7688702,1,all sites
08188750,28.50277789,-96.7613716,1,all sites
08164370,29.1355328,-96.7444227,1,all sites
08164350,29.321914,-96.7091425,1,all sites
08164850,28.59471968,-96.6969247,1,all sites
08164000,28.95998449,-96.6863668,1,all sites
08164390,29.06553568,-96.6741434,1,all sites
08164410,29.45140278,-96.6736056,1,all sites
08164910,28.47777885,-96.6697026,1,all sites
08164900,28.50250038,-96.6469239,1,all sites
08160700,29.71940036,-96.5713609,1,all sites
08164495,29.02831463,-96.5546956,1,all sites
08164500,29.0258147,-96.5524733,1,all sites
08164450,29.1602539,-96.5463608,1,all sites
08108700,30.6268665,-96.544135,1,all sites
08110100,30.41965196,-96.5402466,1,all sites
08161000,29.7063454,-96.5369155,1,all sites
08160800,29.79911967,-96.5321933,1,all sites
08110000,30.3218773,-96.5074683,1,all sites
08109000,30.61408925,-96.4866328,1,all sites
08164503,29.07185833,-96.4680278,1,all sites
08109310,30.63758889,-96.4524611,1,all sites
08162800,28.88887503,-96.4510826,1,all sites
08109500,30.5427027,-96.4227424,1,all sites
08164504,29.07081227,-96.4171913,1,all sites
08111085,30.19580278,-96.3654028,1,all sites
08111025,30.64658746,-96.3496849,1,all sites
08111051,30.64173333,-96.308125,1,all sites
08111090,30.22,-96.3031722,1,all sites
08111050,30.6604756,-96.2996837,1,all sites
08111052,30.60555556,-96.2986361,1,all sites
08111006,30.7576111,-96.297475,1,all sites
08111054,30.59418056,-96.2972472,1,all sites
08162700,28.86359645,-96.2849672,1,all sites
08117370,29.66075,-96.2436667,1,all sites
08111110,30.21231389,-96.2429583,1,all sites
08162580,28.97359167,-96.2085194,1,all sites
08111056,30.5124111,-96.2067,1,all sites
08117375,29.761675,-96.205325,1,all sites
08111700,29.88106145,-96.2052402,1,all sites
08162650,28.81081979,-96.1977433,1,all sites
08111500,30.12910626,-96.1877387,1,all sites
08111010,30.6074215,-96.1816252,1,all sites
08162600,28.92803769,-96.1710747,1,all sites
08110200,30.359175,-96.1549028,1,all sites
08111070,30.41840278,-96.1066167,1,all sites
08162000,29.30913668,-96.1038482,1,all sites
08111850,29.80833333,-96.0955556,1,all sites
08117403,29.400972199999998,-96.0682917,1,all sites
08162530,28.7335992,-96.0574634,1,all sites
08162500,28.9741462,-96.0124588,1,all sites
08162501,28.77416667,-95.9975,1,all sites
08111080,30.35330556,-95.9962778,1,all sites
08162504,28.6872113,-95.9755182,1,all sites
08117840,28.94970185,-95.959958,1,all sites
08117860,28.91998057,-95.9563473,1,all sites
08117900,28.80748426,-95.9507938,1,all sites
08117820,28.94664576,-95.9207905,1,all sites
08117500,29.31357967,-95.8938421,1,all sites
08112500,29.64134686,-95.885231,1,all sites
08117600,29.26608083,-95.878286,1,all sites
08117855,29.0417222,-95.8635194,1,all sites
08067700,30.35381805,-95.8099498,1,all sites
08068720,29.9502237,-95.8082835,1,all sites
08072300,29.74328664,-95.8068951,1,all sites
08115000,29.47190769,-95.8030067,1,all sites
08117857,29.07003333,-95.7889167,1,all sites
08113500,29.56690419,-95.7835616,1,all sites
08117800,29.3471886,-95.7752278,1,all sites
08067690,30.37152778,-95.7691389,1,all sites
08117700,29.16052656,-95.7657837,1,all sites
08115500,29.44607466,-95.7616166,1,all sites
08114000,29.5824589,-95.7577275,1,all sites
08116400,29.51190593,-95.7468942,1,all sites
08072470,29.7677295,-95.7285594,1,all sites
08067552,30.60388333,-95.7252222,1,all sites
08068740,29.959112,-95.7177249,1,all sites
08117850,29.1513593,-95.7157824,1,all sites
08116500,29.5055169,-95.7116155,1,all sites
08117858,28.95151389,-95.7112278,1,all sites
08116000,29.4127416,-95.7102263,1,all sites
08072680,29.8051111,-95.7096111,1,all sites
08068780,30.01605437,-95.6974463,1,all sites
08067585,30.44693056,-95.6972333,1,all sites
08072700,29.80106159,-95.692447,1,all sites
08072730,29.8307828,-95.6868912,1,all sites
08078890,29.61920556,-95.6836083,1,all sites
08067575,30.52829167,-95.6793306,1,all sites
08068750,29.95661198,-95.6782792,1,all sites
08117705,29.11194444,-95.6766667,1,all sites
08067548,30.6460298,-95.675224,1,all sites
08114100,29.56768889,-95.6681417,1,all sites
08072760,29.86717035,-95.646612,1,all sites
08068275,30.11993899,-95.6460559,1,all sites
08072520,29.7555972,-95.6457306,1,all sites
08072600,29.76938056,-95.6431667,1,all sites
08073100,29.79027778,-95.6238889,1,all sites
08116850,29.1444131,-95.6060571,1,all sites
08073500,29.7618958,-95.6057782,1,all sites
08068800,29.97355566,-95.5985545,1,all sites
08074780,29.66551017,-95.5952228,1,all sites
08065925,30.8222611,-95.5946306,1,all sites
08117720,29.01100278,-95.58825,1,all sites
08074760,29.7091197,-95.583,1,all sites
08116650,29.3496858,-95.5824448,1,all sites
08067900,30.25377778,-95.579,1,all sites
08067555,30.58396389,-95.5662611,1,all sites
08078910,29.57348056,-95.5639333,1,all sites
08067920,30.25775,-95.5636944,1,all sites
08074800,29.65662136,-95.5621664,1,all sites
08067610,30.35659665,-95.5604986,1,all sites
08073600,29.76217336,-95.5577213,1,all sites
08068325,30.10549526,-95.5466084,1,all sites
08067650,30.34215289,-95.542998,1,all sites
08068310,30.1703611,-95.5416389,1,all sites
08073630,29.77578396,-95.5399429,1,all sites
08114500,29.45551617,-95.5329996,1,all sites
08074810,29.6727317,-95.5282765,1,all sites
08073700,29.7468959,-95.5235538,1,all sites
08075780,29.94911178,-95.5196633,1,all sites
08078935,29.352775,-95.5189806,1,all sites
08068900,30.00660994,-95.511885,1,all sites
08067653,30.31453889,-95.51145,1,all sites
08068390,30.19055556,-95.4911111,1,all sites
08074150,29.8513369,-95.4879965,1,all sites
08074900,29.6505099,-95.4866088,1,all sites
08068400,30.192159,-95.4838288,1,all sites
08074020,29.87078073,-95.4804961,1,all sites
08068450,30.1343832,-95.4777175,1,all sites
08079000,29.15857735,-95.4757753,1,all sites
08074250,29.82800424,-95.469385,1,all sites
08068000,30.24465738,-95.4571616,1,all sites
08075400,29.61884399,-95.4460522,1,all sites
08068002,30.30150833,-95.4379972,1,all sites
08068500,30.11049517,-95.4363275,1,all sites
08069000,30.0357753,-95.428827,1,all sites
08070220,30.4547972,-95.4236389,1,all sites
08075900,29.95688886,-95.4179936,1,all sites
08075000,29.69717469,-95.412162,1,all sites
08074000,29.76022829,-95.4085505,1,all sites
08068520,30.0921624,-95.4060488,1,all sites
08074500,29.77522777,-95.3971612,1,all sites
08117290,28.9213604,-95.3871632,1,all sites
08068025,30.2413861,-95.3829806,1,all sites
08074550,29.79272709,-95.3685491,1,all sites
08074540,29.79277778,-95.3680556,1,all sites
08078700,29.215797,-95.3591038,1,all sites
08075100,29.70995178,-95.3566048,1,all sites
08068020,30.2949,-95.3521056,1,all sites
08076990,29.58546667,-95.3520472,1,all sites
08077110,29.56640556,-95.3507361,1,all sites
08075110,29.71416667,-95.3388889,1,all sites
08068090,30.14116667,-95.3382222,1,all sites
08066050,30.82574483,-95.3363293,1,all sites
08076500,29.86189143,-95.3349365,1,all sites
08078400,29.28088333,-95.3317917,1,all sites
08075760,29.8063376,-95.3307701,1,all sites
08069200,30.03049736,-95.3299353,1,all sites
08078000,29.37154349,-95.3230476,1,all sites
08075763,29.80883745,-95.3132696,1,all sites
08076000,29.9182784,-95.3068796,1,all sites
08070500,30.25965789,-95.3024361,1,all sites
08076997,29.5968991,-95.2974366,1,all sites
08075500,29.67439687,-95.2893807,1,all sites
08077000,29.59745458,-95.2866029,1,all sites
08075720,29.7032849,-95.2835471,1,all sites
08075770,29.79328217,-95.2679907,1,all sites
08077888,29.4365111,-95.2662889,1,all sites
08069500,30.02716385,-95.2579888,1,all sites
08070550,30.2198111,-95.2492083,1,all sites
08075650,29.67661875,-95.2438238,1,all sites
08076180,29.93386089,-95.2339608,1,all sites
08076700,29.8371695,-95.2332671,1,all sites
08075605,29.65661915,-95.2291011,1,all sites
08070900,30.3271611,-95.22665,1,all sites
08075730,29.69467363,-95.216323,1,all sites
08075740,29.71078426,-95.2024337,1,all sites
08077540,29.54217714,-95.196878,1,all sites
08069800,30.56694444,-95.1913889,1,all sites
08077900,29.29357144,-95.1865976,1,all sites
08077600,29.51745517,-95.178544,1,all sites
08077800,29.35745879,-95.1771535,1,all sites
08077640,29.436075,-95.1701306,1,all sites
08071000,30.2327137,-95.1682662,1,all sites
08076800,29.72550596,-95.1665994,1,all sites
08076900,29.77272687,-95.1560434,1,all sites
08066150,30.83352285,-95.1471597,1,all sites
08071500,29.99466384,-95.1335413,1,all sites
08077850,29.2863489,-95.1313178,1,all sites
08070200,30.14523056,-95.1246139,1,all sites
08076850,29.71078377,-95.1149313,1,all sites
08077620,29.6341185,-95.1143756,1,all sites
08070000,30.33659809,-95.1040999,1,all sites
08072050,29.87633426,-95.0938189,1,all sites
08077670,29.38055833,-95.0900528,1,all sites
08071280,30.10966019,-95.0599294,1,all sites
08071250,30.12597778,-95.0494861,1,all sites
08077680,29.3666236,-95.0490937,1,all sites
08066380,30.50217778,-95.0312889,1,all sites
08066191,30.63214193,-95.0199355,1,all sites
08067520,29.8014972,-95.0047444,1,all sites
08071200,30.18993517,-95.0015956,1,all sites
08067525,29.77078197,-94.9996503,1,all sites
08067500,29.97271914,-94.9857602,1,all sites
08066400,30.5165917,-94.9852116,1,all sites
08066200,30.716306,-94.9588237,1,all sites
08066250,30.57214544,-94.9488223,1,all sites
08067505,29.82151389,-94.9097056,1,all sites
08066850,30.21041667,-94.8690139,1,all sites
08066800,30.28215444,-94.8602045,1,all sites
08066500,30.4252067,-94.8507622,1,all sites
08067240,29.80605604,-94.8379785,1,all sites
08067000,30.05771539,-94.8182567,1,all sites
08067070,29.96132898,-94.8102003,1,all sites
08066300,30.48138889,-94.7797222,1,all sites
08067250,29.83707778,-94.7635944,1,all sites
08067252,29.8124434,-94.7313087,1,all sites
08042558,29.67555556,-94.6661139,1,all sites
08067270,29.89716325,-94.6635296,1,all sites
08067280,29.84058056,-94.654225,1,all sites
08042550,29.76101667,-94.6334444,1,all sites
08042539,29.7924361,-94.4237694,1,all sites
08041300,30.481425,-94.3946528,1,all sites
08041700,30.1060464,-94.3346324,1,all sites
08041940,29.94571944,-94.3262889,1,all sites
08041970,29.82546944,-94.295325,1,all sites
08041945,29.9115111,-94.2931667,1,all sites
08041500,30.3979862,-94.2635215,1,all sites
08042468,30.0638111,-94.2177444,1,all sites
08041749,30.17882253,-94.1887943,1,all sites
08042470,30.01472778,-94.1812056,1,all sites
08042000,29.875,-94.1594444,1,all sites
08042455,30.06783333,-94.1570278,1,all sites
08040600,30.79103579,-94.1510237,1,all sites
08041780,30.156878,-94.1143469,1,all sites
08042500,29.92888889,-94.1097222,1,all sites
08041000,30.35576378,-94.0932373,1,all sites
08041790,30.09442778,-94.0909417,1,all sites
08041788,30.09553889,-94.0767722,1,all sites
08042520,29.88166667,-94.0516667,1,all sites
08042515,29.98205833,-94.0295611,1,all sites
08031005,30.13067778,-93.9163444,1,all sites
08031000,30.18632045,-93.9085058,1,all sites
08030000,30.4313169,-93.9079544,1,all sites
08031020,30.132125,-93.8638139,1,all sites
08029520,30.6050111,-93.7944833,1,all sites
08029500,30.81888889,-93.7855556,1,all sites
08030500,30.30381684,-93.7437784,1,all sites
08030530,30.127725,-93.7017833,1,all sites
08030400,30.38075966,-93.6987793,1,all sites
08029700,30.5599241,-93.6804503,1,all sites
08016800,30.33344444,-93.6295278,1,all sites
08028500,30.74714557,-93.608508,1,all sites
08028700,30.7257561,-93.5601731,1,all sites
