path,type,size,permissions,modification_time,user,group,device_id,hard_links,special_device_id,inode,block_size,blocks,flags,generation,access_time,change_time,birth_time,file_type,basename,basename_no_ext,relative_path,top_folder,context_key,size_mb,last_modified,possible_duplicate
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/us_ecoregions/NA_CEC_Eco_Level3.shp,file,  50.75M,rw-r--r--,2025-05-12T22:22:25Z,cjtinant,staff,16777231,1,0,208497045,4096,0,1073741920,0,2025-06-30T17:50:38Z,2025-07-13T01:10:35Z,2025-05-12T22:21:26Z,shp,NA_CEC_Eco_Level3.shp,NA_CEC_Eco_Level3,us_ecoregions/NA_CEC_Eco_Level3.shp,us_ecoregions,us_ecoregions/NA_CEC_Eco_Level3,53.21,2025-05-12T22:22:25Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/us_ecoregions/us_eco_l1.shp,file,  55.56M,rw-r--r--,2025-05-12T22:45:50Z,cjtinant,staff,16777231,1,0,208509481,4096,0,1073741920,0,2025-06-30T02:58:07Z,2025-07-13T01:10:35Z,2025-05-12T22:45:50Z,shp,us_eco_l1.shp,us_eco_l1,us_ecoregions/us_eco_l1.shp,us_ecoregions,us_ecoregions/us_eco_l1,58.26,2025-05-12T22:45:50Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/us_ecoregions/us_eco_l2.shp,file,  57.3M,rw-r--r--,2025-05-12T22:46:03Z,cjtinant,staff,16777231,1,0,208509656,4096,0,1073741920,0,2025-06-30T02:58:07Z,2025-07-13T01:10:35Z,2025-05-12T22:46:02Z,shp,us_eco_l2.shp,us_eco_l2,us_ecoregions/us_eco_l2.shp,us_ecoregions,us_ecoregions/us_eco_l2,60.08,2025-05-12T22:46:03Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/us_ecoregions/us_eco_l3.shp,file,  61.01M,rw-r--r--,2025-05-12T22:46:12Z,cjtinant,staff,16777231,1,0,208509842,4096,0,1073741920,0,2025-06-30T02:58:07Z,2025-07-13T01:10:35Z,2025-05-12T22:46:12Z,shp,us_eco_l3.shp,us_eco_l3,us_ecoregions/us_eco_l3.shp,us_ecoregions,us_ecoregions/us_eco_l3,63.98,2025-05-12T22:46:12Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/us_ecoregions/us_eco_l4_no_st.shp,file,  90.62M,rw-r--r--,2025-05-12T22:23:37Z,cjtinant,staff,16777231,1,0,208498382,4096,0,1073741920,0,2025-06-30T02:58:07Z,2025-07-13T01:10:35Z,2025-05-12T22:23:37Z,shp,us_eco_l4_no_st.shp,us_eco_l4_no_st,us_ecoregions/us_eco_l4_no_st.shp,us_ecoregions,us_ecoregions/us_eco_l4_no_st,95.02,2025-05-12T22:23:37Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Alkaline_Lakes_Area.gpkg,file,  73.5M,rw-r--r--,2025-06-18T04:01:19Z,cjtinant,staff,16777231,1,0,220497970,4096,0,1073741920,0,2025-07-13T01:10:51Z,2025-07-13T01:10:36Z,2025-06-18T04:01:18Z,gpkg,Alkaline_Lakes_Area.gpkg,Alkaline_Lakes_Area,nhdphr_catchments/Alkaline_Lakes_Area.gpkg,nhdphr_catchments,nhdphr_catchments/Alkaline_Lakes_Area,77.07,2025-06-18T04:01:19Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Arbuckle_Mountains.gpkg,file,  11.49M,rw-r--r--,2025-06-18T00:58:48Z,cjtinant,staff,16777231,1,0,220435022,4096,0,1073741920,0,2025-07-13T01:10:39Z,2025-07-13T01:10:36Z,2025-06-18T00:58:48Z,gpkg,Arbuckle_Mountains.gpkg,Arbuckle_Mountains,nhdphr_catchments/Arbuckle_Mountains.gpkg,nhdphr_catchments,nhdphr_catchments/Arbuckle_Mountains,12.05,2025-06-18T00:58:48Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Arbuckle_Uplift.gpkg,file,  79.7M,rw-r--r--,2025-06-18T00:56:17Z,cjtinant,staff,16777231,1,0,220434420,4096,0,1073741920,0,2025-07-13T01:10:51Z,2025-07-13T01:10:36Z,2025-06-18T00:56:17Z,gpkg,Arbuckle_Uplift.gpkg,Arbuckle_Uplift,nhdphr_catchments/Arbuckle_Uplift.gpkg,nhdphr_catchments,nhdphr_catchments/Arbuckle_Uplift,83.57,2025-06-18T00:56:17Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Arid_Llano_Estacado.gpkg,file, 119.69M,rw-r--r--,2025-06-18T03:10:49Z,cjtinant,staff,16777231,1,0,220481230,4096,0,1073741920,0,2025-07-13T01:10:51Z,2025-07-13T01:10:36Z,2025-06-18T03:10:49Z,gpkg,Arid_Llano_Estacado.gpkg,Arid_Llano_Estacado,nhdphr_catchments/Arid_Llano_Estacado.gpkg,nhdphr_catchments,nhdphr_catchments/Arid_Llano_Estacado,125.51,2025-06-18T03:10:49Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Balcones_Canyonlands.gpkg,file, 486.78M,rw-r--r--,2025-06-18T01:14:38Z,cjtinant,staff,16777231,1,0,220443231,4096,0,1073741920,0,2025-07-13T01:10:51Z,2025-07-13T01:10:36Z,2025-06-18T01:14:36Z,gpkg,Balcones_Canyonlands.gpkg,Balcones_Canyonlands,nhdphr_catchments/Balcones_Canyonlands.gpkg,nhdphr_catchments,nhdphr_catchments/Balcones_Canyonlands,510.42,2025-06-18T01:14:38Z,FALSE
