band,data_type
ppt_m01_mm,FLT4S
ppt_m02_mm,FLT4S
ppt_m03_mm,FLT4S
ppt_m04_mm,FLT4S
ppt_m05_mm,FLT4S
ppt_m06_mm,FLT4S
ppt_m07_mm,FLT4S
ppt_m08_mm,FLT4S
ppt_m09_mm,FLT4S
ppt_m10_mm,FLT4S
ppt_m11_mm,FLT4S
ppt_m12_mm,FLT4S
