file,crs,extent,resolution,ncols,nrows,nbands,names,timestamp
nlcd_2016_gp.tif,NAD83 / Conus Albers,"ext(-1285455.38855763, 481574.611441507, 310905.437986088, 3006135.43798477)",29.9999999999853 x 29.9999999999853,58901,89841,1,,2025-07-20T03:51:54Z
nlcd_2016_gp.tif,EPSG,"ext(-1285455.38855763, 481574.611441507, 310905.437986088, 3006135.43798477)",29.9999999999853 x 29.9999999999853,58901,89841,1,,2025-07-20T03:51:54Z
nlcd_2016_gp.tif,5070,"ext(-1285455.38855763, 481574.611441507, 310905.437986088, 3006135.43798477)",29.9999999999853 x 29.9999999999853,58901,89841,1,,2025-07-20T03:51:54Z
nlcd_2016_gp.tif,United States (USA) - CONUS onshore - Alabama; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming,"ext(-1285455.38855763, 481574.611441507, 310905.437986088, 3006135.43798477)",29.9999999999853 x 29.9999999999853,58901,89841,1,,2025-07-20T03:51:54Z
nlcd_2016_gp.tif,"list(c(-124.79, -66.91, 24.41, 49.38))","ext(-1285455.38855763, 481574.611441507, 310905.437986088, 3006135.43798477)",29.9999999999853 x 29.9999999999853,58901,89841,1,,2025-07-20T03:51:54Z
