file,crs,extent,resolution,ncols,nrows,nbands,names,timestamp
ndvi_2016_stack.tif,NAD83 / Conus Albers,"ext(-1335346.7649031, 531478.221085685, 260849.157958165, 3056265.29141967)",321.423034777683 x 321.423034777683,5808,8697,24,,2025-07-20T03:40:55Z
ndvi_2016_stack.tif,EPSG,"ext(-1335346.7649031, 531478.221085685, 260849.157958165, 3056265.29141967)",321.423034777683 x 321.423034777683,5808,8697,24,,2025-07-20T03:40:55Z
ndvi_2016_stack.tif,5070,"ext(-1335346.7649031, 531478.221085685, 260849.157958165, 3056265.29141967)",321.423034777683 x 321.423034777683,5808,8697,24,,2025-07-20T03:40:55Z
ndvi_2016_stack.tif,United States (USA) - CONUS onshore - Alabama; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming,"ext(-1335346.7649031, 531478.221085685, 260849.157958165, 3056265.29141967)",321.423034777683 x 321.423034777683,5808,8697,24,,2025-07-20T03:40:55Z
ndvi_2016_stack.tif,"list(c(-124.79, -66.91, 24.41, 49.38))","ext(-1335346.7649031, 531478.221085685, 260849.157958165, 3056265.29141967)",321.423034777683 x 321.423034777683,5808,8697,24,,2025-07-20T03:40:55Z
