file,crs,extent,resolution,ncols,nrows,nbands,names,timestamp
temp_ann_C_stack.tif,NAD83 / Conus Albers,"ext(-2950369.1449695, 2999798.91414061, 115807.214149569, 3323037.95207142)",751.283845847236 x 751.283845847236,7920,4269,3,,2025-07-20T04:08:04Z
temp_ann_C_stack.tif,EPSG,"ext(-2950369.1449695, 2999798.91414061, 115807.214149569, 3323037.95207142)",751.283845847236 x 751.283845847236,7920,4269,3,,2025-07-20T04:08:04Z
temp_ann_C_stack.tif,5070,"ext(-2950369.1449695, 2999798.91414061, 115807.214149569, 3323037.95207142)",751.283845847236 x 751.283845847236,7920,4269,3,,2025-07-20T04:08:04Z
temp_ann_C_stack.tif,United States (USA) - CONUS onshore - Alabama; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming,"ext(-2950369.1449695, 2999798.91414061, 115807.214149569, 3323037.95207142)",751.283845847236 x 751.283845847236,7920,4269,3,,2025-07-20T04:08:04Z
temp_ann_C_stack.tif,"list(c(-124.79, -66.91, 24.41, 49.38))","ext(-2950369.1449695, 2999798.91414061, 115807.214149569, 3323037.95207142)",751.283845847236 x 751.283845847236,7920,4269,3,,2025-07-20T04:08:04Z
